,price,ranks,title,no_of_reviews,ratings,author,cover_type,year
503,5.79,74,Lord of the Flies,"44,046",4.5,William Golding,Mass Market Paperback,2017
504,6.27,75,Night (Night),"19,815",4.7,Elie Wiesel,Paperback,2017
505,8.93,76,The Catcher in the Rye,"34,374",4.5,J.D. Salinger,Mass Market Paperback,2017
506,13.10,77,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual, Mental, Emotional, and Physical Bodies",285,4.6,Zhi Gang Sha,Hardcover,2017
507,8.53,78,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Valorie Schaefer,4.8,,Paperback,2017
508,17.89,79,"The Skinnytaste Cookbook: Light on Calories, Big on Flavor","8,608",4.7,Gina Homolka,Hardcover,2017
509,8.36,80,Fahrenheit 451,"46,748",4.6,Ray Bradbury,Paperback,2017
510,6.71,51,Diary of a Minecraft Zombie Book 1: A Scare of A Dare (Minecraft Adventure),"18,112",4.7,Zack Zombie,Paperback,2017
511,7.10,52,"Great Gatsby, the; (Us Import Ed.)","14,097",4.4,F. Scott Fitzgerald,Paperback,2017
512,14.95,53,Lost Ocean: An Inky Adventure and Coloring Book for Adults,"8,268",4.7,Johanna Basford,Paperback,2017
513,22.23,54,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,4.6,,Hardcover,2017
514,,55,The Official SAT Study Guide,The College Board,4.4,,Paperback,2017
515,9.89,56,10-Day Green Smoothie Cleanse,"37,377",4.7,JJ Smith,Paperback,2017
516,,57,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,"39,634",4.7,Brené Brown,Paperback,2017
517,4.59,58,Chicka Chicka Boom Boom (Board Book),Bill Martin Jr.,4.9,,Board book,2017
518,13.18,59,The Day the Crayons Came Home,"5,722",4.8,Drew Daywalt,Hardcover,2017
519,20.50,60,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,"28,909",4.6,Randall Munroe,Hardcover,2017
520,7.68,61,Paper Towns,"35,377",4.2,John Green,Paperback,2017
521,12.49,62,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","75,136",4.7,Laura Hillenbrand,Paperback,2017
522,13.00,63,Get What's Yours: The Secrets to Maxing Out Your Social Security (The Get What's Yours Series),"3,518",4.2,Laurence J. Kotlikoff,Hardcover,2017
523,11.46,64,"Magnus Chase and the Gods of Asgard, Book 1: The Sword of Summer","22,225",4.6,Rick Riordan,Hardcover,2017
524,9.92,65,Dragons Love Tacos,"17,468",4.8,Adam Rubin,Hardcover,2017
525,8.36,66,Fahrenheit 451,"46,748",4.6,Ray Bradbury,Paperback,2017
526,8.53,67,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Valorie Schaefer,4.8,,Paperback,2017
527,7.99,68,Potty (Leslie Patricelli board books),"13,553",4.7,Leslie Patricelli,Board book,2017
528,20.49,69,Thing Explainer: Complicated Stuff in Simple Words,"4,321",4.5,Randall Munroe,Hardcover,2017
529,16.03,70,Dead Wake: The Last Crossing of the Lusitania,"30,836",4.4,Erik Larson,Hardcover,2017
530,3.97,71,The Going To Bed Book,"16,779",4.8,Sandra Boynton,Board book,2017
531,12.99,72,"Inspiralized: Turn Vegetables into Healthy, Creative, Satisfying Meals: A Cookbook","3,837",4.4,Ali Maffucci,Paperback,2017
532,3.99,73,Mystical Mandala Coloring Book (Dover Mandala Coloring Books),"2,978",4.5,Alberta Hutchinson,Paperback,2017
533,141.08,74,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5","12,812",4.7,American Psychiatric Association,Paperback,2017
534,6.99,75,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.6,,Paperback,2017
535,16.52,76,The 20/20 Diet: Turn Your Weight Loss Vision Into Reality,Phil McGraw,4.0,,Hardcover,2017
536,6.27,77,Night (Night),"19,815",4.7,Elie Wiesel,Paperback,2017
537,16.89,78,What to Expect When You're Expecting,"29,180",4.8,Heidi Murkoff,Paperback,2017
538,12.99,79,The Jesus Storybook Bible: Every Story Whispers His Name,"12,376",4.9,Sally Lloyd-Jones,Hardcover,2017
539,14.63,80,The Road to Character,"5,957",4.3,David Brooks,Hardcover,2017
540,8.36,51,Fahrenheit 451,"46,748",4.6,Ray Bradbury,Paperback,2018
541,4.98,52,Love You Forever,"57,852",4.9,Robert Munsch,Paperback,2018
542,7.10,53,"Great Gatsby, the; (Us Import Ed.)","14,097",4.4,F. Scott Fitzgerald,Paperback,2018
543,22.23,54,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,4.6,,Hardcover,2018
544,18.99,55,All the Light We Cannot See,"212,202",4.5,Anthony Doerr,Hardcover,2018
545,4.94,56,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,,Board book,2018
546,13.89,57,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream","136,656",4.6,Paulo Coelho,Paperback,2018
547,10.52,58,"Fervent: A Woman's Battle Plan to Serious, Specific and Strategic Prayer","10,515",4.9,Priscilla Shirer,Paperback,2018
548,15.68,59,The Whistler,"66,258",4.4,John Grisham,Hardcover,2018
549,4.19,60,If Animals Kissed Good Night,"72,084",4.8,Ann Whitford Paul,Board book,2018
550,17.84,61,Cooking for Jeffrey: A Barefoot Contessa Cookbook,"2,566",4.7,Ina Garten,Hardcover,2018
551,11.20,62,"The Trials of Apollo, Book 1: The Hidden Oracle","21,462",4.7,Rick Riordan,Hardcover,2018
552,4.99,63,Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),"5,903",4.5,Rob Elliott,Paperback,2018
553,4.02,64,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,,Hardcover,2018
554,,65,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,"39,634",4.7,Brené Brown,Paperback,2018
555,14.25,66,"Crisis of Character: A White House Secret Service Officer Discloses His Firsthand Experience with Hillary, Bill, and How They Operate","12,402",4.1,Gary J. Byrne,Hardcover,2018
556,5.99,67,First 100 Animals,"9,804",4.8,Roger Priddy,Board book,2018
557,8.49,68,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns","3,175",4.5,Coloring Books for Adults,Paperback,2018
558,5.36,69,Goodnight Moon,"26,577",4.9,Margaret Wise Brown,Board book,2018
559,9.05,70,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead","12,013",4.8,Brené Brown,Paperback,2018
560,8.89,71,Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children),"36,613",4.3,Ransom Riggs,Paperback,2018
561,15.46,72,Grit: The Power of Passion and Perseverance,"17,745",4.6,Angela Duckworth,Hardcover,2018
562,14.98,73,Emotional Intelligence 2.0,"12,414",4.5,Travis Bradberry,Hardcover,2018
563,13.93,74,The Underground Railroad (Pulitzer Prize Winner) (National Book Award Winner) (Oprah's Book Club): A Novel,"56,296",4.4,Colson Whitehead,Hardcover,2018
564,8.46,75,The Outsiders,"35,112",4.8,S. E. Hinton,Paperback,2018
565,27.99,76,The Food Lab: Better Home Cooking Through Science,"9,595",4.9,J. Kenji López-Alt,Hardcover,2018
566,17.95,77,Me Before You: A Novel (Movie Tie-In),"1,234",4.6,Jojo Moyes,Paperback,2018
567,4.59,78,Chicka Chicka Boom Boom (Board Book),Bill Martin Jr.,4.9,,Board book,2018
568,8.53,79,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Valorie Schaefer,4.8,,Paperback,2018
569,7.99,80,Potty (Leslie Patricelli board books),"13,553",4.7,Leslie Patricelli,Board book,2018
570,8.53,51,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Valorie Schaefer,4.8,,Paperback,2018
571,10.44,52,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely","11,531",4.7,Lysa TerKeurst,Paperback,2018
572,15.23,53,Big Little Lies,"156,404",4.4,Liane Moriarty,Paperback,2018
573,,54,The Official SAT Study Guide,"2,396",4.5,The College Board,Paperback,2018
574,17.00,55,The Whole30 Cookbook: 150 Delicious and Totally Compliant Recipes to Help You Succeed with the Whole30 and Beyond,Melissa Hartwig Urban,4.6,,Hardcover,2018
575,11.29,56,"Thinking, Fast and Slow","39,285",4.6,Daniel Kahneman,Paperback,2018
576,8.89,57,"Jesus Calling, Padded Hardcover, with Scripture references","39,395",4.9,Sarah Young,Hardcover,2018
577,12.70,58,What to Expect When You're Expecting,"29,180",4.8,Heidi Murkoff,Paperback,2018
578,11.24,59,The Glass Castle: A Memoir (book),"37,750",4.6,Jeannette Walls,Paperback,2018
579,7.10,60,"Great Gatsby, the; (Us Import Ed.)","14,097",4.4,F. Scott Fitzgerald,Paperback,2018
580,14.17,61,The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations,"2,629",4.7,Oprah Winfrey,Hardcover,2018
581,5.68,62,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,,Board book,2018
582,15.25,63,The Rooster Bar,"22,305",4.2,John Grisham,Hardcover,2018
583,10.74,64,The Giving Tree,"30,387",4.9,Shel Silverstein,Hardcover,2018
584,10.09,65,She Persisted: 13 American Women Who Changed the World,"3,304",4.8,Chelsea Clinton,Hardcover,2018
585,6.38,66,On Tyranny: Twenty Lessons from the Twentieth Century,"24,681",4.7,Timothy Snyder,Paperback,2018
586,13.89,67,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream","136,656",4.6,Paulo Coelho,Paperback,2018
587,8.36,68,Fahrenheit 451,"46,748",4.6,Ray Bradbury,Paperback,2018
588,14.66,69,Camino Island: A Novel,"42,732",4.3,John Grisham,Hardcover,2018
589,11.34,70,Turtles All the Way Down,"14,567",4.6,John Green,Hardcover,2018
590,,71,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,"39,634",4.7,Brené Brown,Paperback,2018
591,4.98,72,Love You Forever,"57,852",4.9,Robert Munsch,Paperback,2018
592,16.05,73,"The Pioneer Woman Cooks―Come and Get It!: Simple, Scrumptious Recipes for Crazy Busy Lives","4,906",4.8,Ree Drummond,Hardcover,2018
593,12.98,74,Mindset: The New Psychology of Success,"26,367",4.6,Carol S. Dweck,Paperback,2018
594,5.00,75,Where Is Baby's Belly Button? A Lift-the-Flap Book,"13,291",4.8,Karen Katz,Board book,2018
595,20.90,76,Grant,"9,271",4.8,Ron Chernow,Hardcover,2018
596,11.55,77,,840,4.6,,,2018
597,21.45,78,Sapiens: A Brief History of Humankind,"131,771",4.6,Yuval Noah Harari,Hardcover,2018
598,17.98,79,The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing,"37,463",4.7,Benjamin Graham,Paperback,2018
