title,author,rating,rank,number_of_reviews,price,cover_type,year
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.6,6,"28,909",20.50,Hardcover,2011
The Blood of Olympus (The Heroes of Olympus),Rick Riordan,4.8,7,"41,165",11.48,Hardcover,2011
"Jesus Calling, Padded Hardcover, with Scripture references",Sarah Young,4.9,8,"39,395",8.89,Hardcover,2011
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.7,9,"75,136",12.49,Paperback,2011
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,,4.6,10,DK,6.99,Paperback,2011
The Day the Crayons Quit,Drew Daywalt,4.8,11,"22,155",9.40,Hardcover,2011
Divergent,Veronica Roth,4.7,12,"17,524",12.46,Paperback,2011
The Fault in Our Stars,,4.6,13,John Green,11.06,Hardcover,2011
"Oh, the Places You'll Go!  ",Dr. Seuss,4.9,14,"45,644",8.96,Hardcover,2011
To Kill a Mockingbird,Harper Lee,4.7,15,"128,056",21.47,Mass Market Paperback,2011
Gone Girl,Gillian Flynn,4.1,16,"159,888",12.90,Paperback,2011
The Book Thief,Markus Zusak,4.6,17,"65,550",7.83,Paperback,2011
The Official SAT Study Guide,,4.4,18,The College Board,,Paperback,2011
Humans of New York,Brandon Stanton,4.8,19,"5,550",15.67,Hardcover,2011
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,4.1,20,"122,729",18.50,Hardcover,2011
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.7,21,"12,812",141.08,Paperback,2011
Wonder,R. J. Palacio,4.7,22,"82,598",9.40,Hardcover,2011
The Book with No Pictures,B. J. Novak,4.8,23,"18,629",9.90,Hardcover,2011
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,24,"5,445",10.99,Hardcover,2011
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,25,"4,912",,Paperback,2011
Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),Rob Elliott,4.5,26,"5,903",4.99,Paperback,2011
JOURNEY TO THE ICE P,RH Disney,4.6,27,"1,096",7.11,Paperback,2011
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,28,"12,910",19.78,Paperback,2011
Little Blue Truck,Alice Schertle,4.9,29,"1,965",,Board book,2011
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.6,30,"2,380",18.29,Hardcover,2011
First 100 Words: A Padded Board Book,Roger Priddy,4.7,1,"36,473",4.78,Board book,2012
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,,4.5,2,Marie Kondō,8.89,Hardcover,2012
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,3,"11,598",4.99,Paperback,2012
Secret Garden: An Inky Treasure Hunt and Coloring Book for Adults,Johanna Basford,4.7,4,"15,325",13.95,Paperback,2012
StrengthsFinder 2.0,,4.1,5,Gallup,20.96,Hardcover,2012
Go Set a Watchman: A Novel,Harper Lee,3.8,6,"52,136",16.88,Hardcover,2012
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints)",Johanna Basford,4.7,7,"8,234",12.15,Paperback,2012
All the Light We Cannot See,Anthony Doerr,4.5,8,"212,202",18.99,Hardcover,2012
The Girl on the Train,Paula Hawkins,4.1,9,"376,233",12.67,Hardcover,2012
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.5,10,"4,311",6.91,Paperback,2012
Diary of a Wimpy Kid #10: Old School,Jeff Kinney,4.7,11,"30,680",11.00,Hardcover,2012
To Kill a Mockingbird,Harper Lee,4.7,12,"128,056",21.47,Mass Market Paperback,2012
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,13,"3,973",7.99,Paperback,2012
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns",Coloring Books for Adults,4.5,14,"3,175",8.49,Paperback,2012
Humans of New York : Stories,Brandon Stanton,4.9,15,"5,326",15.96,Hardcover,2012
The Martian,Andy Weir,4.6,16,"169,468",10.41,Paperback,2012
"Oh, the Places You'll Go!  ",Dr. Seuss,4.9,17,"45,644",8.96,Hardcover,2012
Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),Rob Elliott,4.5,18,"5,903",4.99,Paperback,2012
Dear Zoo: A Lift-the-Flap Book,,4.8,19,Rod Campbell,5.00,Board book,2012
The Day the Crayons Quit,Drew Daywalt,4.8,20,"22,155",9.40,Hardcover,2012
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.6,21,"81,459",14.05,Paperback,2012
"Jesus Calling, Padded Hardcover, with Scripture references",Sarah Young,4.9,22,"39,395",8.89,Hardcover,2012
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,23,"26,367",12.98,Paperback,2012
"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades Of Grey Series, 4)",E L James,4.5,24,"117,361",12.76,Paperback,2012
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,25,"5,182",5.99,Paperback,2012
How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,4.7,26,"105,360",10.30,Paperback,2012
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,27,"88,081",8.39,Paperback,2012
Balance (Angie’s Extreme Stress Menders),Angie Grace,4.6,28,"2,283",11.95,Paperback,2012
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.7,29,"5,288",5.38,Paperback,2012
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),,4.6,30,Thug Kitchen,32.00,Hardcover,2012
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4.3,1,"94,511",11.42,Hardcover,2012
StrengthsFinder 2.0,,4.1,2,Gallup,20.96,Hardcover,2012
First 100 Words: A Padded Board Book,Roger Priddy,4.7,3,"36,473",4.78,Board book,2012
